position,description,certificate,company,city,sks,period,link,start_intern,end_intern,start_regis,end_regis
Account Payable/ Account Receivable ,First Journey to Become ASSA SPEED Racers!,Bersertifikat,ASSA ,Kota Jakarta Utara,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/631c1888-6d99-43db-bfff-086dafc150c3/f38d7f37-a976-11eb-87b2-c2c15332c25a,23 Aug 2021,28 Feb 2022,12 Jun 2021,31 Jul 2021
Account Payable & Tax Support ,Integration Finance Operations Project ,Bersertifikat,Bank DBS Indonesia ,DKI Jakarta,20 SKS , 11 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/38814882-af32-4727-a0ee-fb8a36d52243/f52bee4f-a909-11eb-87b2-c2c15332c25a,23 Aug 2021,25 Jul 2022,28 Jun 2021,23 Jul 2021
Acoounting & Tax,-,Bersertifikat,TANIHUB GROUP  ,Kota Jakarta Selatan,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/da32871d-4655-45c1-914f-11e6af8555b8/b2f00903-aec1-11eb-916a-fec524a7507d,16 Aug 2021,28 Feb 2022,15 Jun 2021,31 Jul 2021
Acting Key Account Operation,-,Bersertifikat,Paragon Technology and Innovation ,"Jakarta, Bogor, Bandung, Semarang, Jogja, Surabaya",20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/bcdcdee1-cef2-4ed7-b469-12a6ab2740fa/9e8aaaf3-a97d-11eb-b34d-7e0867a6abdb,02 Aug 2021,31 Jan 2022,30 Apr 2021,31 May 2021
Actuarial,IFRS 17 & Sharia Spin-Off Project,Bersertifikat,Prudential Indonesia ,Kota Jakarta Pusat,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d7dba154-bb40-4f26-ba87-819153240ca6/6f343994-a9bd-11eb-87b2-c2c15332c25a,02 Aug 2021,01 Dec 2021,07 Jun 2021,25 Jun 2021
Admin Commercial ,-,Bersertifikat,TANIHUB GROUP  ,Kota Jakarta Selatan,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/da32871d-4655-45c1-914f-11e6af8555b8/88523719-aec3-11eb-835e-f64c0e044e56,16 Aug 2021,28 Feb 2022,15 Jun 2021,31 Jul 2021
Administrasi dan informasi SDM,Human Resources Internship Program,Bersertifikat,MAP ,Kota Jakarta Pusat,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ee7b0151-ca37-458e-bb5b-48d25f88b664/48978843-a9a0-11eb-b34d-7e0867a6abdb,23 Aug 2021,17 Dec 2021,07 Jun 2021,23 Jul 2021
Affiliates Marketing Intern,Program Magang Lazada Indonesia Marketing Team,Bersertifikat,Lazada ,Kota Jakarta Selatan,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/aed64ced-1c3e-40f4-8c92-3fae1469cbc4/af8b6a73-a97b-11eb-b34d-7e0867a6abdb,23 Aug 2021,21 Jan 2022,07 Jun 2021,23 Jul 2021
Agriculture Module Developer,-,Bersertifikat,TANIHUB GROUP  ,Kota Jakarta Selatan,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/da32871d-4655-45c1-914f-11e6af8555b8/2dc0765d-aedb-11eb-835e-f64c0e044e56,16 Aug 2021,28 Feb 2022,15 Jun 2021,31 Jul 2021
Akuntansi,Affiliate Apps,Bersertifikat,Bhinneka.com ,Kota Jakarta Pusat,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0c3fcde6-8fc9-420b-9ae9-d6adc16be73f/c90f1d11-a807-11eb-b34d-7e0867a6abdb,02 Aug 2021,31 Dec 2021,21 Jun 2021,16 Jul 2021
Analis Corporate Banking,Analisa Kelayakan Pembiayaan Pembangkit Tenaga Listrik menggunakan Renewable Energy,Bersertifikat,Bank CIMB Niaga ,Kota Jakarta Selatan,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/7ee6d215-9ad2-4565-81c1-555e8efb1360/19967148-a99b-11eb-87b2-c2c15332c25a,23 Aug 2021,23 Feb 2022,14 Jun 2021,31 Jul 2021
Analis Corporate Banking,Analisa Risiko dan Kelayakan Pembiayaan Ladang Minyak/gas,Bersertifikat,Bank CIMB Niaga ,Kota Jakarta Selatan,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/7ee6d215-9ad2-4565-81c1-555e8efb1360/585ab8a7-a99c-11eb-b34d-7e0867a6abdb,23 Aug 2021,23 Feb 2022,14 Jun 2021,31 Jul 2021
Analis Corporate Banking,Studi Kelayakan Pembiayaan Proyek Konstruksi,Bersertifikat,Bank CIMB Niaga ,Kota Jakarta Selatan,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/7ee6d215-9ad2-4565-81c1-555e8efb1360/da567fc8-a99c-11eb-87b2-c2c15332c25a,23 Aug 2021,23 Feb 2022,14 Jun 2021,31 Jul 2021
Analyst,Data Driven Campaign to Growth Sales,Bersertifikat,Kalbe ,Kota Jakarta Timur,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ee261620-e398-4939-ae17-ab576c801cbe/51ec5fbc-a9a3-11eb-b34d-7e0867a6abdb,23 Aug 2021,28 Feb 2022,01 Jul 2021,30 Jul 2021
Analyst Developer,Support pengembangan sistem aplikasi penunjang kredit,Bersertifikat,Bank CIMB Niaga ,work from home,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/7ee6d215-9ad2-4565-81c1-555e8efb1360/7ceffbc6-a96c-11eb-87b2-c2c15332c25a,23 Aug 2021,23 Feb 2022,15 Jun 2021,31 Jul 2021
Android Developer,digibank Development Project,Bersertifikat,Bank DBS Indonesia ,DKI Jakarta,20 SKS , 11 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/38814882-af32-4727-a0ee-fb8a36d52243/cf38af19-a8e5-11eb-b34d-7e0867a6abdb,23 Aug 2021,25 Jul 2022,28 Jun 2021,23 Jul 2021
Android Developer,Pembuatan Produk Aplikasi dan Game,Bersertifikat,IT Total Solution ,Kota Yogyakarta,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/791dd098-f884-4cee-b9bf-63d9c11896f1/cfeb50d4-a70e-11eb-b34d-7e0867a6abdb,23 Aug 2021,21 Jan 2022,16 Jun 2021,20 Jul 2021
Android Developer Intern ,#InternAtCampaign - Developer,Bersertifikat,Campaign.com ,Kota Jakarta Selatan,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d2d37548-9ab8-4a9d-84c6-a9c0359989ba/18e58c91-adbe-11eb-87b2-c2c15332c25a,01 Aug 2021,31 Jan 2022,01 Jun 2021,31 Jul 2021
Animasi/Games,Learning Management For Industri Kreatif,Bersertifikat,MKA ,"Balikpapan, Kalimantan Timur",20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/3dd0e109-3267-4dc3-ad3d-4b2e3cb309ab/43ff14c1-a9ca-11eb-87b2-c2c15332c25a,02 Aug 2021,31 Jan 2022,11 Jun 2021,15 Jul 2021
Animator,Animation in Modul Digital Learning (KF -SHPC3),Bersertifikat,Kalbe ,"Sunter, North Jakarta",20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ee261620-e398-4939-ae17-ab576c801cbe/468f4f17-a9ad-11eb-87b2-c2c15332c25a,23 Aug 2021,28 Feb 2022,01 Jul 2021,30 Jul 2021
Animator,Desainer Program Guru Merdeka Belajar,Bersertifikat,Semua Murid Semua Guru ,Online,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0cc412e6-5c6a-490d-82d6-c9cb8ae4ebba/0872aa65-a9ce-11eb-b34d-7e0867a6abdb,01 Aug 2021,31 Dec 2021,17 Jun 2021,18 Jul 2021
Animator Intern - ZenPro,Zenius Internship Program 2021,Bersertifikat,Zenius ,"Graha Aktiva, Kuningan Timur, Setiabudi, Jakarta Selatan",20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/261f4d66-aa98-41a5-a213-a079764411a7/5724c441-a8c2-11eb-b34d-7e0867a6abdb,02 Aug 2021,31 Dec 2021,15 Jun 2021,15 Jul 2021
Anti-Fraud Unit Analyst ,Anti-Money Laundering & Anti-Fraud Unit Process Strengthening Project ,Bersertifikat,Bank DBS Indonesia ,DKI Jakarta,20 SKS , 11 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/38814882-af32-4727-a0ee-fb8a36d52243/5cc03a5f-a953-11eb-b34d-7e0867a6abdb,23 Aug 2021,25 Jul 2022,28 Jun 2021,23 Jul 2021
Anti-Money Laundering  Analyst ,Anti-Money Laundering & Anti-Fraud Unit Process Strengthening Project ,Bersertifikat,Bank DBS Indonesia ,DKI Jakarta,20 SKS , 11 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/38814882-af32-4727-a0ee-fb8a36d52243/b22e1643-a951-11eb-b34d-7e0867a6abdb,23 Aug 2021,25 Jul 2022,28 Jun 2021,23 Jul 2021
Antropologi/Psikologi,Campus Marketplace,Bersertifikat,Bhinneka.com ,Kota Jakarta Pusat,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0c3fcde6-8fc9-420b-9ae9-d6adc16be73f/304fe232-a8b7-11eb-b34d-7e0867a6abdb,02 Aug 2021,31 Dec 2021,21 Jun 2021,16 Jul 2021
API Engineer,-,Bersertifikat,Bank BRI ,Kota Jakarta Pusat,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/a78798fb-cfe4-4e23-9d42-a09881f6bf9c/15ab975f-a95a-11eb-b34d-7e0867a6abdb,23 Aug 2021,22 Jan 2022,01 Jul 2021,01 Aug 2021
Application/ Software Requirement Analyst,-,Bersertifikat,Telkomsel ,Kota Jakarta Selatan,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/162aef9f-4662-4465-82d8-7adf85a712f0/541739cb-a8d5-11eb-b34d-7e0867a6abdb,23 Aug 2021,18 Feb 2022,07 Jun 2021,30 Jun 2021
Application Testing,Application Testing,Bersertifikat,BCA ,Kota Jakarta Utara,20 SKS , 11 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/8a7e142f-1562-49c4-865d-26bfc2cb3dfe/320629e2-a9d1-11eb-b34d-7e0867a6abdb,01 Aug 2021,31 Jul 2022,01 Jun 2021,16 Jul 2021
Area Marketing,-,Bersertifikat,Lokalate ,Kota Jakarta Timur,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ba6e4e73-3cc3-4cf2-9cf4-9090f73fe8af/616965a3-a991-11eb-87b2-c2c15332c25a,02 Aug 2021,31 Jan 2022,01 Jun 2021,31 Jul 2021
Artificial Intelligence Interns,Program Magang Lazada Indonesia Customer Care Team,Bersertifikat,Lazada ,Kota Jakarta Selatan,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/aed64ced-1c3e-40f4-8c92-3fae1469cbc4/3aa5288b-a984-11eb-87b2-c2c15332c25a,23 Aug 2021,21 Jan 2022,07 Jun 2021,23 Jul 2021
